Plant,Year,YearCrop,FID,Area,CaneType,NP,RT,CropType,Yield,Lon,Lat,geometry
RDC,2021,6465,601,26.37,RT,0,1,RT1,9.534598656,99.82501163844469,14.883169541113698,"POLYGON ((99.82597619997169 14.882095285374723, 99.82325599997178 14.882844185373989, 99.82315579997176 14.883568385373367, 99.82354159997176 14.883466185373445, 99.82352809997175 14.883400685373491, 99.82371369997175 14.883351385373537, 99.82374679997176 14.88342408537351, 99.82487279997169 14.883137785373737, 99.8250735999717 14.884448285372532, 99.8256868999717 14.88427668537271, 99.8260674999717 14.884110885372868, 99.82613949997169 14.884067685372923, 99.82597819997169 14.882098785374712, 99.82597619997169 14.882095285374723))"
RDC,2021,6465,604,12.27,RT,0,1,RT1,10.50042553,99.82460973822339,14.882134221467368,"POLYGON ((99.8233624999718 14.882120685374657, 99.82326549997175 14.882805585374042, 99.82598359997172 14.882070385374714, 99.82594059997173 14.881500585375234, 99.8233624999718 14.882120685374657))"
RDC,2021,6465,605,15.60,RT,0,1,RT1,7.759615385,99.8247197751837,14.881388140985624,"POLYGON ((99.82669509997166 14.880649485376047, 99.82365339997178 14.88122318537547, 99.8235261999718 14.881464485375286, 99.8234566999718 14.881657185375111, 99.82341159997178 14.881852585374933, 99.82338809997175 14.882082485374687, 99.82593079997169 14.881466085375303, 99.82589699997169 14.880984885375716, 99.82592859997169 14.880930085375779, 99.82606279997168 14.88087498537584, 99.82630249997167 14.880807085375858, 99.82668449997166 14.880721285375985, 99.82669509997166 14.880649485376047))"
RDC,2021,6465,606,11.20,RT,0,1,RT1,11.23681859,99.82506684132866,14.880708277238256,"POLYGON ((99.82367559997176 14.881179385375551, 99.82661939997169 14.88062048537609, 99.82650419997165 14.880316685376322, 99.8254583999717 14.880443485376244, 99.82494879997176 14.880535485376146, 99.82394649997175 14.880583985376093, 99.82367559997176 14.881179385375551))"
RDC,2021,6465,612,14.56,NP,1,0,NP,6.898939929,99.83248797753946,14.879114152154296,"POLYGON ((99.82965669997155 14.879668885376965, 99.83543159997136 14.878872685377686, 99.83544579997137 14.878532985378024, 99.82940189997157 14.879388285377223, 99.82948259997158 14.879619685376973, 99.82965669997155 14.879668885376965))"
RDC,2021,6465,613,30.75,NP,1,0,NP,8.455005056,99.83238428614094,14.878580643337747,"POLYGON ((99.83544649997135 14.878482885378052, 99.83543929997138 14.877807285378646, 99.82923429997159 14.878698685377806, 99.8293867999716 14.879343385377224, 99.83544649997135 14.878482885378052))"
RDC,2021,6465,614,27.23,NP,1,0,NP,10.12723041,99.83225238940683,14.877896505908247,"POLYGON ((99.83542309997141 14.877698385378766, 99.83545349997141 14.877166785379261, 99.83095969997152 14.87775308537872, 99.83096069997151 14.877792885378657, 99.8291022999716 14.87811318537835, 99.82920929997158 14.878658585377869, 99.83542309997141 14.877698385378766))"
RDC,2021,6465,617,68.80,RT,0,1,RT1,10.44096154,99.82646458098236,14.879342687888453,"POLYGON ((99.82945409997158 14.879660285376964, 99.8292049999716 14.878775185377766, 99.82917839997158 14.878644985377898, 99.82903099997158 14.878131685378348, 99.82351959997177 14.878927385377624, 99.82351429997178 14.878929185377629, 99.82373269997177 14.879557585377025, 99.82375389997175 14.879673685376945, 99.82400879997178 14.880492785376186, 99.82435919997177 14.880514585376131, 99.82490599997173 14.880492485376182, 99.82768669997164 14.880022185376598, 99.82771339997163 14.879870785376754, 99.82846519997159 14.879783185376855, 99.82855639997162 14.879828885376812, 99.82944709997155 14.87965928537697, 99.82945409997158 14.879660285376964))"
RDC,2021,6465,618,68.81,NP,1,0,NP,14.15179739,99.82503103303884,14.872496008205594,"POLYGON ((99.8238768999718 14.874004785382082, 99.82387099997179 14.87399058538214, 99.82423439997179 14.873841585382257, 99.82456269997176 14.873696685382392, 99.82563059997175 14.873262585382776, 99.82565049997172 14.873269885382763, 99.82568049997172 14.873309485382768, 99.82568529997172 14.87332298538272, 99.82576129997176 14.873488385382586, 99.82598859997174 14.873874885382216, 99.82599959997172 14.873877085382254, 99.82603739997175 14.873867885382243, 99.8260495999717 14.873860785382242, 99.82719719997168 14.873242685382817, 99.8271946999717 14.87321638538283, 99.82717469997168 14.873175785382898, 99.8264738999717 14.871463785384469, 99.82645979997173 14.87143588538447, 99.82642589997172 14.87135268538454, 99.82600979997173 14.870185685385598, 99.82597449997175 14.870184085385647, 99.82593959997175 14.870219485385606, 99.82569149997174 14.870578085385253, 99.82544839997179 14.870896085384954, 99.82511219997176 14.87114848538474, 99.82484569997179 14.871309085384597, 99.82471979997182 14.871390485384536, 99.8242055999718 14.871603085384342, 99.82359199997182 14.871887685384067, 99.82343099997185 14.871990585383958, 99.82320789997183 14.87212028538384, 99.82302359997182 14.87218998538377, 99.82278669997183 14.872337185383644, 99.82278409997181 14.872362685383605, 99.82279299997182 14.872402985383603, 99.8229693999718 14.872947385383068, 99.82303179997184 14.873155985382894, 99.82308389997186 14.87336158538271, 99.8231632999718 14.873665385382411, 99.8233064999718 14.874187185381935, 99.82336059997182 14.874206785381903, 99.8238768999718 14.874004785382082))"
RDC,2021,6465,620,86.07,RT,0,1,RT1,11.31474597,99.8270197896261,14.877407866612398,"POLYGON ((99.8243584999718 14.87864648537787, 99.8290120999716 14.877956385378535, 99.82905619997163 14.8779498853785, 99.83078039997153 14.877718485378763, 99.83058589997157 14.876805785379585, 99.83056689997156 14.876762185379592, 99.83048289997154 14.876348685379986, 99.83042249997155 14.876211185380123, 99.83036269997157 14.876122885380182, 99.83025469997158 14.876063885380274, 99.8300767999716 14.87603738538025, 99.82972839997161 14.87608568538021, 99.82948489997162 14.876264585380085, 99.82917469997163 14.876427685379882, 99.82863959997164 14.876685785379697, 99.82858799997166 14.87672568537965, 99.82835629997162 14.876757285379623, 99.82812009997163 14.876412585379914, 99.82294269997182 14.87720418537917, 99.82314479997181 14.877835985378605, 99.82319639997183 14.877985685378476, 99.82330789997178 14.877965585378474, 99.82339899997177 14.878219785378267, 99.82424779997177 14.878110585378375, 99.82435069997177 14.878649385377837, 99.8243584999718 14.87864648537787))"
